2026-05-17T02:35:42 | INFO     | app.database | Connecting to MongoDB at mongodb://mongo:27017
2026-05-17T02:35:42 | INFO     | app.database | MongoDB connection established
2026-05-17T02:35:46 | INFO     | app.main | GET /health → 200 (0.48ms)
2026-05-17T02:36:01 | INFO     | app.main | GET /health → 200 (0.34ms)
2026-05-17T02:36:16 | INFO     | app.main | GET /health → 200 (0.38ms)
2026-05-17T02:36:31 | INFO     | app.main | GET /health → 200 (0.36ms)
2026-05-17T02:36:46 | INFO     | app.main | GET /health → 200 (0.46ms)
2026-05-17T02:37:01 | INFO     | app.main | GET /health → 200 (0.23ms)
2026-05-17T02:37:16 | INFO     | app.main | GET /health → 200 (0.76ms)
2026-05-17T02:37:31 | INFO     | app.main | GET /health → 200 (0.3ms)
2026-05-17T02:37:46 | INFO     | app.main | GET /health → 200 (0.23ms)
2026-05-17T02:38:01 | INFO     | app.main | GET /health → 200 (0.21ms)
2026-05-17T02:38:17 | INFO     | app.main | GET /health → 200 (0.21ms)
2026-05-17T02:38:32 | INFO     | app.main | GET /health → 200 (0.22ms)
2026-05-17T02:38:47 | INFO     | app.main | GET /health → 200 (0.5ms)
2026-05-17T02:39:02 | INFO     | app.main | GET /health → 200 (0.34ms)
2026-05-17T02:39:17 | INFO     | app.main | GET /health → 200 (1.61ms)
2026-05-17T02:39:32 | INFO     | app.main | GET /health → 200 (0.24ms)
2026-05-17T02:39:47 | INFO     | app.main | GET /health → 200 (0.21ms)
2026-05-17T02:40:02 | INFO     | app.main | GET /health → 200 (0.37ms)
2026-05-17T02:40:17 | INFO     | app.main | GET /health → 200 (0.31ms)
2026-05-17T02:40:33 | INFO     | app.main | GET /health → 200 (0.26ms)
2026-05-17T02:40:48 | INFO     | app.main | GET /health → 200 (0.23ms)
2026-05-17T02:41:03 | INFO     | app.main | GET /health → 200 (0.28ms)
2026-05-17T02:41:18 | INFO     | app.main | GET /health → 200 (0.31ms)
2026-05-17T02:41:33 | INFO     | app.main | GET /health → 200 (0.3ms)
2026-05-17T02:41:48 | INFO     | app.main | GET /health → 200 (0.29ms)
2026-05-17T02:42:04 | INFO     | app.main | GET /health → 200 (0.45ms)
2026-05-17T02:42:19 | INFO     | app.main | GET /health → 200 (0.35ms)
2026-05-17T02:42:34 | INFO     | app.main | GET /health → 200 (0.28ms)
2026-05-17T02:42:49 | INFO     | app.main | GET /health → 200 (0.4ms)
2026-05-17T02:43:04 | INFO     | app.main | GET /health → 200 (0.29ms)
2026-05-17T02:43:19 | INFO     | app.main | GET /health → 200 (0.23ms)
2026-05-17T02:43:34 | INFO     | app.main | GET /health → 200 (0.28ms)
2026-05-17T02:43:50 | INFO     | app.main | GET /health → 200 (0.42ms)
2026-05-17T02:44:05 | INFO     | app.main | GET /health → 200 (0.36ms)
2026-05-17T02:44:20 | INFO     | app.main | GET /health → 200 (0.35ms)
2026-05-17T02:44:35 | INFO     | app.main | GET /health → 200 (0.36ms)
2026-05-17T02:44:50 | INFO     | app.main | GET /health → 200 (0.31ms)
2026-05-17T02:45:05 | INFO     | app.main | GET /health → 200 (0.36ms)
2026-05-17T02:45:21 | INFO     | app.main | GET /health → 200 (0.4ms)
2026-05-17T02:45:36 | INFO     | app.main | GET /health → 200 (0.3ms)
2026-05-17T02:45:51 | INFO     | app.main | GET /health → 200 (0.33ms)
2026-05-17T02:46:06 | INFO     | app.main | GET /health → 200 (0.31ms)
2026-05-17T02:46:21 | INFO     | app.main | GET /health → 200 (0.39ms)
2026-05-17T02:46:36 | INFO     | app.main | GET /health → 200 (0.34ms)
2026-05-17T02:46:52 | INFO     | app.main | GET /health → 200 (0.35ms)
2026-05-17T02:47:07 | INFO     | app.main | GET /health → 200 (0.32ms)
2026-05-17T02:47:22 | INFO     | app.main | GET /health → 200 (0.37ms)
2026-05-17T02:47:37 | INFO     | app.main | GET /health → 200 (0.27ms)
2026-05-17T02:47:52 | INFO     | app.main | GET /health → 200 (0.34ms)
2026-05-17T02:48:08 | INFO     | app.main | GET /health → 200 (0.42ms)
2026-05-17T02:48:23 | INFO     | app.main | GET /health → 200 (0.39ms)
2026-05-17T02:48:38 | INFO     | app.main | GET /health → 200 (0.61ms)
2026-05-17T02:48:53 | INFO     | app.main | GET /health → 200 (0.58ms)
